result
     ENTRY_TS     | HOST_CPU | HOST_DISK | HOST_FABRIC | HOST_MEMORY | SPU_CPU | SPU_DISK | SPU_FABRIC | SPU_MEMORY | MAX_SPU_CPU | MAX_SPU_DISK | MAX_SPU_FABRIC | MAX_SPU_MEMORY | SPU_TEMP_DISK | MAX_SPU_TEMP_DISK | SPU_TEMP_DISK_PAGES_ALLOCATED | MAX_SPU_TEMP_DISK_PAGES_ALLOCATED 
------------------+----------+-----------+-------------+-------------+---------+----------+------------+------------+-------------+--------------+----------------+----------------+---------------+-------------------+-------------------------------+-----------------------------------
 1584517994957221 |        0 |         0 |           0 |           0 |       0 |        0 |          0 |          0 |           0 |            0 |              0 |              0 |             0 |                 0 |                             0 |                                 0
 1584518054956675 |        0 |      0.01 |        0.02 |        0.04 |    0.97 |     0.88 |       0.39 |       0.34 |           1 |         0.96 |           0.44 |            0.4 |             0 |                 0 |                          0.02 |                              0.02
 1584518114956583 |     0.02 |      0.02 |        0.01 |        0.04 |    0.91 |     0.54 |       0.17 |       0.38 |           1 |         0.65 |           0.19 |           0.54 |             0 |                 0 |                          0.03 |                              0.04
 1584518174957194 |     0.02 |      0.02 |           0 |        0.04 |     0.8 |     0.65 |       0.25 |       0.29 |        0.99 |         0.78 |           0.29 |           0.39 |             0 |                 0 |                          0.02 |                              0.03
 1584518234956766 |     0.02 |      0.01 |           0 |        0.04 |    0.79 |      0.8 |       0.25 |       0.18 |        0.95 |         0.94 |           0.29 |           0.21 |             0 |                 0 |                          0.01 |                              0.02
 1584518294956879 |     0.02 |      0.01 |        0.01 |        0.04 |    0.74 |     0.76 |       0.42 |       0.19 |        0.86 |         0.88 |           0.47 |           0.21 |             0 |                 0 |                             0 |                                 0
 1584518354956451 |     0.02 |         0 |        0.02 |        0.04 |    0.88 |     0.52 |        0.1 |       0.34 |        0.98 |          0.6 |           0.11 |           0.44 |             0 |                 0 |                          0.02 |                              0.02
 1584518414957550 |     0.02 |      0.01 |           0 |        0.04 |    0.55 |     0.62 |       0.08 |       0.14 |        0.67 |         0.83 |           0.09 |           0.16 |             0 |                 0 |                             0 |                                 0
 1584518474956991 |     0.03 |      0.01 |        0.02 |        0.04 |    0.74 |     0.79 |       0.59 |       0.27 |        0.82 |         0.91 |           0.67 |            0.3 |             0 |                 0 |                             0 |                                 0
 1584518534957619 |     0.04 |      0.03 |        0.02 |        0.04 |    0.94 |     0.35 |       0.24 |       0.47 |           1 |         0.48 |           0.27 |           0.64 |             0 |                 0 |                          0.06 |                              0.08
 1584518597308735 |     0.02 |         0 |        0.02 |        0.04 |     0.8 |     0.67 |       0.16 |       0.35 |        0.98 |         0.83 |           0.18 |           0.48 |             0 |                 0 |                          0.01 |                              0.01
 1584518657308587 |     0.02 |      0.01 |           0 |        0.04 |    0.92 |      0.6 |       0.39 |       0.52 |           1 |          0.8 |           0.43 |           0.68 |             0 |                 0 |                          0.05 |                              0.06
 1584518721995995 |     0.02 |      0.02 |        0.01 |        0.04 |    0.81 |     0.49 |       0.29 |       0.37 |        0.96 |         0.61 |           0.32 |           0.49 |             0 |                 0 |                          0.06 |                              0.09
 1584518781996064 |     0.01 |      0.01 |           0 |        0.04 |    0.67 |     0.65 |        0.2 |       0.25 |        0.87 |         0.87 |           0.23 |           0.32 |             0 |                 0 |                          0.02 |                              0.03
 1584518841996809 |     0.02 |         0 |        0.01 |        0.04 |    0.87 |     0.89 |       0.31 |       0.22 |        0.95 |         0.97 |           0.35 |           0.25 |             0 |                 0 |                          0.01 |                              0.02
 1584518902003084 |     0.02 |      0.03 |           0 |        0.04 |    0.89 |     0.48 |       0.38 |       0.37 |        0.99 |          0.6 |           0.44 |           0.45 |             0 |                 0 |                          0.09 |                              0.12
 1584518966995859 |     0.02 |      0.01 |           0 |        0.04 |    0.77 |     0.84 |       0.27 |       0.17 |        0.83 |         0.95 |           0.31 |            0.2 |             0 |                 0 |                             0 |                              0.01
 1584519026996762 |     0.02 |      0.01 |           0 |        0.04 |    0.69 |     0.59 |       0.19 |       0.17 |        0.85 |         0.69 |            0.2 |            0.2 |          0.02 |              0.04 |                          0.01 |                              0.02
 1584519086995950 |     0.03 |      0.01 |        0.03 |        0.04 |    0.78 |     0.41 |       0.26 |       0.29 |        0.89 |         0.46 |           0.32 |           0.36 |             0 |                 0 |                             0 |                                 0
 1584519146995496 |     0.02 |      0.01 |           0 |        0.04 |    0.45 |     0.71 |       0.11 |       0.15 |        0.59 |         0.84 |           0.13 |           0.19 |             0 |                 0 |                             0 |                                 0
 1584519206996201 |     0.01 |      0.01 |           0 |        0.04 |    0.54 |     0.79 |       0.42 |       0.27 |        0.61 |         0.95 |            0.5 |            0.3 |             0 |                 0 |                             0 |                              0.01
 1584519268245099 |     0.05 |      0.01 |        0.08 |        0.04 |    0.87 |     0.65 |       0.55 |       0.57 |        0.94 |          0.8 |           0.71 |            0.6 |          0.17 |              0.19 |                          0.02 |                              0.03
 1584519328244760 |     0.01 |         0 |           0 |        0.04 |    0.69 |     0.21 |       0.03 |       0.84 |         0.8 |         0.78 |           0.03 |           0.88 |             1 |                 1 |                          0.01 |                              0.02
 1584519388245179 |     0.02 |         0 |           0 |        0.04 |    0.86 |     0.21 |       0.12 |        0.7 |        0.97 |         0.57 |           0.14 |           0.85 |          0.88 |              0.97 |                          0.03 |                              0.04
 1584519448245318 |     0.02 |      0.01 |        0.01 |        0.04 |    0.83 |     0.21 |       0.14 |       0.51 |           1 |         0.39 |           0.16 |           0.77 |          0.46 |              0.76 |                          0.05 |                              0.11
 1584519508245169 |     0.02 |      0.01 |           0 |        0.04 |    0.68 |     0.62 |       0.05 |       0.31 |        0.99 |         0.82 |           0.06 |           0.52 |          0.19 |              0.37 |                          0.02 |                              0.03
